time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
64,7949,1164.3665234375,252.47313241630792,0.001,513100,514181,53,9701.528301886792,-232272.41938820752
64,8086,1166.4126220703124,250.24084088265897,0.001,522900,523980,54,9703.333333333334,-232151.44043681477
64,8221,1169.2651123046876,0.6642454513907432,0.001,532700,533779,55,9705.072727272727,-232034.7443998909
65,8357,1169.47412109375,374.2589344406128,0.001,542500,543578,56,9706.75,-231922.32668414287
65,8492,1163.9040942382812,377.52659592211245,0.001,552300,553377,57,9708.368421052632,-231813.35186512282
65,8627,1166.6130688476562,0.7638744580745697,0.001,562100,563176,58,9709.931034482759,-231707.85508106896
65,8761,1169.141767578125,127.22231748223305,0.001,571900,572975,59,9711.440677966102,-231607.5407387288
65,8897,1167.8667919921875,373.60298725932836,0.001,581700,582774,60,9712.9,-231509.34907498336
65,9034,1173.6208227539062,502.77031691432,0.001,591500,592573,61,9714.311475409837,-231414.86081570495
65,9169,1176.0895874023438,376.68497808426616,0.001,601300,602372,62,9715.677419354839,-231323.75455569357
65,9304,1173.2638012695313,251.64669292509555,0.001,611100,612171,63,9717.0,-231234.99230598414
65,9439,1176.2418090820313,378.76313010036944,0.001,620900,621970,64,9718.28125,-231149.89916045315
65,9575,1170.0717236328126,254.65552545070648,0.001,630700,631769,65,9719.523076923077,-231067.2309441077
66,9710,1171.9563842773437,504.97163713753224,0.001,640500,641568,66,9720.727272727272,-230986.8891429091
66,9845,1167.5320947265625,376.9890573105216,0.001,650300,651367,67,9721.89552238806,-230908.04488726865
66,9980,1174.59611328125,501.7268788191676,0.001,660100,661166,68,9723.029411764706,-230831.9360562206
66,10117,1169.6712963867187,126.60532451421022,0.001,669900,670965,69,9724.130434782608,-230757.8248580145
66,10252,1176.4056591796875,126.74121782034635,0.001,679700,680764,70,9725.2,-230686.211439
66,10387,1171.6074853515624,631.3853191244602,0.001,689500,690563,71,9726.239436619719,-230616.32096490145
66,10523,1173.9277294921876,249.55010296702386,0.001,699300,700362,72,9727.25,-230548.2594933889
66,10658,1171.8270678710937,126.22783707648516,0.001,709100,710161,73,9728.232876712329,-230482.7112632329
66,10794,1170.8936328125,251.1097424149513,0.001,718900,719960,74,9729.18918918919,-230418.90656452707
66,10929,1175.8470190429687,623.8768478295207,0.001,728700,729759,75,9730.12,-230357.24963421334
66,11065,1174.3537084960938,500.59878238081933,0.001,738500,739558,76,9731.026315789473,-230295.94128018423
66,11199,1168.4116821289062,126.48410797327757,0.001,748300,749357,77,9731.90909090909,-230237.0685297273
66,11335,1170.2685180664062,253.93785648882388,0.001,758100,759156,78,9732.76923076923,-230178.9471080385
67,11470,1166.3052758789063,375.45107619553806,0.001,767900,768955,79,9733.60759493671,-230123.06694513926
67,11606,1171.9548559570312,126.4413539415598,0.001,777700,778754,80,9734.425,-230068.21954673747
67,11745,1168.5608862304687,1.6598112714290618,0.001,787500,788553,81,9735.222222222223,-230015.06398267896
67,11882,1172.513291015625,251.7902989858389,0.001,797300,798352,82,9736.0,-229962.71977628046
67,12018,1172.5790551757811,377.5565566691756,0.001,807100,808151,83,9736.759036144578,-229911.82367071082
67,12154,1164.746044921875,622.6492538818717,0.001,816900,817950,84,9737.5,-229861.26744878571
67,12289,1169.985732421875,373.18699806511404,0.001,826700,827749,85,9738.223529411765,-229812.86838980002
67,12427,1172.4189477539062,1.0065059757232666,0.001,836500,837548,86,9738.93023255814,-229765.65477680232
67,12563,1171.1004565429687,373.7025593933463,0.001,846300,847347,87,9739.620689655172,-229719.20469331034
67,12699,1175.61296875,762.4765196344256,0.001,856100,857146,88,9740.295454545454,-229674.1893424432
67,12836,1164.8072705078125,373.63904727816583,0.001,865900,866945,89,9740.955056179775,-229630.24939920226
67,12972,1173.7248901367188,126.26980898797513,0.001,875700,876744,90,9741.6,-229587.10299352225
67,13107,1174.11984375,125.19804331988097,0.001,885500,886543,91,9742.23076923077,-229545.4286659561
67,13242,1169.0254028320312,378.1151011443138,0.001,895300,896342,92,9742.847826086956,-229503.98366959786
