,error,Pitch,WindSpeed,Pitch action,reward
228,2.065034381044873,,,0.8642547,-25.47844423138713
229,,27.403007805347407,,0.86465,-25.53485713017502
230,,,18.0,0.8649788,-25.58096196189636
231,2.103595596378784,,,0.86522377,-25.61546625831008
232,,27.490217204093884,,0.8654337,-25.645868491098323
233,,,18.0,0.86565256,-25.677843123157967
234,2.1387134004137236,,,0.86585,-25.70529698316612
235,,27.578817758560163,,0.8659004,-25.709767784823132
236,,,18.0,0.8657739,-25.689620819411694
237,2.1699498315713193,,,0.86559534,-25.663958820626483
238,,27.668696427345235,,0.86546206,-25.64529773450943
239,,,18.0,0.86534,-25.626992848846108
240,2.1986632962749644,,,0.86516476,-25.601124367036043
241,,27.759755437374093,,0.86500025,-25.578271104527722
242,,,18.0,0.864913,-25.56653688957483
243,2.2280921149374064,,,0.8648398,-25.555443437780696
244,,27.85196850538249,,0.8647163,-25.537067019667344
245,,,18.0,0.8645928,-25.51998351670617
246,2.259703131018763,,,0.8645365,-25.512815033342047
247,,27.94538477897639,,0.86450946,-25.50849167687342
248,,,18.0,0.8643935,-25.489800620161468
249,2.29002665738496,,,0.86414826,-25.453506328148908
250,,28.04001737356183,,0.86389947,-25.41907245179817
251,,,18.0,0.86376405,-25.401437677330566
252,2.314949985121401,,,0.8636999,-25.39214177790257
253,,28.13575589895244,,0.8635771,-25.373452089985175
254,,,18.0,0.86341333,-25.350688447392972
255,2.336645715102593,,,0.8633491,-25.343573938119196
256,,28.232465622425046,,0.86339784,-25.351106196961506
257,,,18.0,0.86342216,-25.35337734413052
258,2.36105738783254,,,0.86336267,-25.344148690690847
259,,28.330147535800897,,0.86330175,-25.33634114009556
260,,,18.0,0.86332035,-25.34008672565392
261,2.3893931814865708,,,0.86338437,-25.349201488740373
262,,28.42890602111814,,0.8634101,-25.35171024870228
263,,,18.0,0.8633511,-25.342367731143916
264,2.4177642599401663,,,0.86326885,-25.331218602781725
265,,28.528790001869165,,0.8632691,-25.33297987456728
266,,,18.0,0.8633888,-25.351387104567337
267,2.443114428062864,,,0.86357,-25.377446896903738
268,,28.6297433924675,,0.8637452,-25.402083866548907
269,,,18.0,0.8638966,-25.423480415375327
270,2.4659448344940627,,,0.8640413,-25.444281818674888
271,,28.731684672832507,,0.8641975,-25.466797154594474
272,,,18.0,0.86435485,-25.489159880557487
273,2.487494604324546,,,0.864478,-25.506064070363564
274,,28.834563601017003,,0.86453915,-25.513982294921348
275,,,18.0,0.8645537,-25.515742020323593
276,2.5091305727281936,,,0.86456513,-25.517529373497158
277,,28.93836172103881,,0.86458063,-25.519681090145408
278,,,18.0,0.86458516,-25.520130095233558
279,2.53264083794926,,,0.8645915,-25.521437141981156
280,,29.043104517459824,,0.8646412,-25.529460266558843
281,,,18.0,0.86475515,-25.546764419589813
282,2.5581414971687764,,,0.86491466,-25.5700900341252
283,,29.148845617771112,,0.8650768,-25.593249354368805
284,,,18.0,0.8652066,-25.611384555181672
285,2.5822206330926702,,,0.8652892,-25.622652201931967
286,,29.25558947563173,,0.865329,-25.62790497902511
287,,,18.0,0.86533284,-25.627895492530268
288,2.6022843063343677,,,0.86529136,-25.621101644276816
289,,29.36325034856793,,0.8651861,-25.604798324647824
290,,,18.0,0.8650155,-25.57950324603278
291,2.6217766410222936,,,0.86483335,-25.553623368535444
292,,29.47175949573516,,0.86470366,-25.535952098204312
293,,,18.0,0.8646407,-25.527648546955863
294,2.6456754547548442,,,0.86461425,-25.52413217237486
295,,29.58117582559581,,0.86461115,-25.524213593184516
296,,,18.0,0.8646591,-25.532015429846574
297,2.672439606366674,,,0.86476445,-25.54779243189205
298,,29.691600451469427,,0.86488485,-25.564892898325372
299,,,18.0,0.8649678,-25.576093487247523
300,2.6960478897907105,,,0.86499715,-25.579672064158
301,,29.80301636219022,,0.86499333,-25.578886504549086
302,,,18.0,0.86497283,-25.575492397117497
303,2.7154007066913532,,,0.8649056,-25.564874958276107
304,,29.91531142473216,,0.86477816,-25.545844094617216
305,,,18.0,0.8646331,-25.525233340144236
306,2.735238457297509,,,0.8645346,-25.512104725877307
307,,30.028437819480878,,0.8645177,-25.510898874483694
308,,,18.0,0.86457896,-25.520642223688554
309,2.758303474599786,,,0.86468935,-25.53697289103182
310,,30.142451593875904,,0.8648186,-25.555711310851226
311,,,18.0,0.86495066,-25.574744336744214
312,2.782130569659839,,,0.8650774,-25.592930682620587
313,,30.257400078773486,,0.8651937,-25.609618811287252
314,,,18.0,0.8653003,-25.6248717346384
315,2.8044115432993006,,,0.8653729,-25.634363046868135
316,,30.37326012372967,,0.8653414,-25.6278225930773
317,,,18.0,0.86519074,-25.604864965199322
318,2.8263060027297584,,,0.86500454,-25.578245865597832
319,,30.490001385211936,,0.8648701,-25.559830857507666
320,,,18.0,0.86479306,-25.549220034613572
